634.759 -7.82373e-07 -0.00157528  5.31528 -0.0376835  7.63488e-07 -0.00157527  4.69233 -0.0428323  
637.586 -7.75429e-07 -0.0015683  5.31527 -0.0375229  7.56874e-07 -0.00156829  4.69227 -0.042625  
640.414 -7.68577e-07 -0.00156138  5.31526 -0.0373637  7.50344e-07 -0.00156136  4.69222 -0.0424197  
643.241 -7.61815e-07 -0.00155451  5.31525 -0.0372059  7.43898e-07 -0.0015545  4.69216 -0.0422164  
646.069 -7.55142e-07 -0.00154771  5.31524 -0.0370493  7.37535e-07 -0.0015477  4.69211 -0.042015  
648.896 -7.48557e-07 -0.00154097  5.31523 -0.0368941  7.31251e-07 -0.00154096  4.69205 -0.0418155  
651.723 -7.42057e-07 -0.00153428  5.31522 -0.0367402  7.25048e-07 -0.00153427  4.692 -0.0416179  
654.551 -7.35642e-07 -0.00152766  5.31522 -0.0365876  7.18922e-07 -0.00152765  4.69194 -0.0414221  
657.378 -7.29309e-07 -0.00152109  5.31521 -0.0364362  7.12873e-07 -0.00152108  4.69189 -0.0412282  
660.206 -7.23059e-07 -0.00151458  5.3152 -0.0362861  7.069e-07 -0.00151456  4.69184 -0.0410361  
663.033 -7.16888e-07 -0.00150812  5.31519 -0.0361372  7.01e-07 -0.00150811  4.69179 -0.0408458  
665.861 -7.10796e-07 -0.00150171  5.31518 -0.0359895  6.95174e-07 -0.0015017  4.69174 -0.0406573  
668.688 -7.04781e-07 -0.00149537  5.31518 -0.0358431  6.8942e-07 -0.00149535  4.69169 -0.0404704  
